id,categoryId,title,location,budget,description,image,map_query,slug,trail_id,status,sort_order
events-nairobi-night-market,events,Nairobi Night Market,Nairobi,"From KES 1,700 day trip","Street food
Live DJs
Local makers
Arrive early for shorter food lines.",https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80,Westlands Nairobi night market Kenya,nairobi-night-market,,published,2
events-rift-acoustic,events,Rift Valley Acoustic Sessions,Naivasha,"From KES 2,100 day trip · KES 2,500/night","Lakefront music
Campfire
Local artists
Bring camp chair if you have one.",https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80,Lake Naivasha acoustic sessions Kenya,rift-acoustic,,published,3
events-mara-community-run,events,Mara Community Run,Talek,"From KES 3,800 day trip · KES 3,500/night","Conservation run
Community guides
School fundraiser
Combine with budget camp safari same weekend.",https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=900&q=80,Maasai Mara community run Kenya,mara-community-run,,published,4
events-koroga-festival,events,Koroga Festival Nairobi,Nairobi,"From KES 4,400 day trip","Live music
Food vendors
City festival
Buy early-bird online to save KES 1,000+.",https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80,Koroga Festival Nairobi Kenya,koroga-festival,,published,5
events-lamu-yoga-festival,events,Lamu Yoga Festival,Lamu,"From KES 7,700 day trip · KES 4,000/night","Beach yoga
Dhow sunsets
Wellness on budget
Day-pass classes cheaper than full festival pass.",https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=900&q=80,Lamu Yoga Festival Kenya,lamu-yoga-festival,,published,6
events-turkana-festival,events,Lake Turkana Festival,Loiyangalani,"From KES 7,500 day trip · KES 3,500/night","Northern cultures
Lake Turkana
Traditional dance
Join group overland to split costs.",https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80,Lake Turkana Festival Kenya,turkana-festival,,published,7
events-maralal-camel-derby,events,Maralal Camel Derby,Maralal,"From KES 4,000 day trip · KES 2,500/night","Camel races
Northern festival
Camping
Camp early for good spots.",https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=900&q=80,Maralal Camel Derby Kenya,maralal-camel-derby,,published,8
events-diani-reggae-sundowner,events,Diani Beach Reggae Sundowner,Diani,"From KES 2,600 day trip · KES 2,500/night","Sunset reggae
Beach vibes
Free entry
Starts one hour before sunset.",https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=900&q=80,Diani Beach reggae sundowner Kenya,diani-reggae-sundowner,,published,9
events-nairobi-cycling-festival,events,Nairobi Cycling Festival,Nairobi,"From KES 1,600 day trip","Forest loops
Repair workshops
Gear swap
Register online for free workshop slots.",https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=900&q=80,Karura Forest cycling festival Kenya,nairobi-cycling-festival,,published,10
road-nairobi-mombasa,roadtrips,Nairobi → Mombasa via SGR,Nairobi to Coast,"From KES 1,000 SGR economy","Fast budget hop to the coast
Book early for cheapest fares
Matatu last mile in Mombasa",https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?auto=format&fit=crop&w=900&q=80,Nairobi SGR Terminus,diani,,published,1
road-rift-loop,roadtrips,Great Rift Valley loop,Nairobi → Naivasha → Nakuru,"From KES 2,500 shared van day","Matatu and shared van circuit through viewpoints
Lakes and camps on one weekend
Split van costs in travel groups",https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=900&q=80,Great Rift Valley Viewpoint Kenya,hells-gate,,published,2
road-tsavo-coast,roadtrips,Tsavo to Diani overland,Voi → Coast,"From KES 1,800 bus + tuk-tuk","Budget wildlife stop then bus to the beach
Classic backpacker corridor
SGR to Voi optional",https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=900&q=80,Voi Kenya,tsavo-east,,published,3
